奉贈韋左丞丈二十二韻 // 0276 0001,中7.2251,中PDF7.30,揚31.4
夜聽許十損誦詩愛而有作 // 0592 0034,中7.2263,中PDF7.42,揚31.16
橋陵詩三十韻因呈縣內諸官 // 0515 0035,中7.2263,中PDF7.42,揚31.17
沙苑行 // 0541 0036,中7.2264,中PDF7.43,揚31.17
驄馬行 // 0608 0037,中7.2264,中PDF7.43,揚31.17
去矣行 // 0652 0038,中7.2264,中PDF7.43,揚31.18
自京赴奉先縣詠懷五百字 // 0668 0039,中7.2265,中PDF7.44,揚31.18
奉先劉少府新畫山水障歌 // 0527 0040,中7.2266,中PDF7.45,揚31.20
白水縣崔少府十九翁高齋三十韻 // 0715 0041,中7.2266,中PDF7.45,揚31.20
三川觀水漲二十韻 // 0725 0042,中7.2267,中PDF7.46,揚31.21
悲陳陶 // 0737 0043,中7.2267,中PDF7.46,揚31.22
悲青坂 // 0742 0044,中7.2268,中PDF7.47,揚31.22
哀江頭 // 0760 0045,中7.2268,中PDF7.47,揚31.22
哀王孫 // 0771 0046,中7.2268,中PDF7.47,揚31.22
大雲寺贊公房四首 // 0797-1 0047-1,中7.2269,中PDF7.48,揚31.23
大雲寺贊公房四首 // 0797-2 0047-2,中7.2269,中PDF7.48,揚31.23
大雲寺贊公房四首 // 0797-3 0047-3,中7.2269,中PDF7.48,揚31.23
大雲寺贊公房四首 // 0797-4 0047-4,中7.2269,中PDF7.48,揚31.23
蘇端薛復筵簡薛華醉歌 // 0695 0048,中7.2270,中PDF7.49,揚31.24
晦日尋崔戢李封 // 0703 0049,中7.2270,中PDF7.49,揚31.25
雨過蘇端 // 0809 0050,中7.2271,中PDF7.50,揚31.25
喜晴 // 0813 0051,中7.2271,中PDF7.50,揚31.25
送率府程錄事還鄕 // 0710 0052,中7.2271,中PDF7.50,揚31.26
述懷一首 // 0841 0053,中7.2272,中PDF7.51,揚31.26
送長孫九侍御赴武威判官 // 0848 0054,中7.2272,中PDF7.51,揚31.27
送樊二十三侍御赴漢中判官 // 0833 0055,中7.2272,中PDF7.51,揚31.27
送從弟亞赴安西判官 // 0853 0056,中7.2273,中PDF7.52,揚31.28
送韋十六評事充同谷郡防禦判官 // 0861 0057,中7.2273,中PDF7.52,揚31.28
塞蘆子 // 0755 0058,中7.2274,中PDF7.53,揚31.29
彭衙行 // 0925 0059,中7.2274,中PDF7.53,揚31.29
北征 // 0943 0060,中7.2275,中PDF7.54,揚31.30
得舍弟消息 // 1083 0061,中7.2276,中PDF7.55,揚31.31
徒步歸行 // 0909 0062,中7.2276,中PDF7.55,揚31.31
玉華宮 // 0912 0063,中7.2276,中PDF7.55,揚31.32
九成宮 // 0904 0064,中7.2277,中PDF7.56,揚31.32
羌村 // 0934-1 0065-1,中7.2277,中PDF7.56,揚31.32
羌村 // 0934-2 0065-2,中7.2277,中PDF7.56,揚31.32
羌村 // 0934-3 0065-3,中7.2277,中PDF7.56,揚31.32
偪仄行贈畢曜 // 1095 0066,中7.2277,中PDF7.56,揚31.33
送李校書二十六韻 // 1085 0067,中7.2278,中PDF7.57,揚31.33
洗兵馬 // 1252 0068,中7.2278,中PDF7.57,揚31.34
留花門 // 1164 0069,中7.2279,中PDF7.58,揚31.35
病後遇王倚飲贈歌 // 0223 0070,中7.2280,中PDF7.59,揚31.35
湖城東遇孟雲卿復歸劉顥宅宿宴飲散因爲醉歌 // 1225 0071,中7.2280,中PDF7.59,揚31.36
閿鄕姜七少府設膾戲贈長歌 // 1216 0072,中7.2281,中PDF7.60,揚31.36
戲贈閿鄕秦少公短歌 // 1222 0073,中7.2281,中PDF7.60,揚31.37
李鄠縣丈人胡馬行 // 1230 0074,中7.2281,中PDF7.60,揚31.37
義鶻 // 1110 0075,中7.2281,中PDF7.60,揚31.37
畫鶻行 // 1118 0076,中7.2282,中PDF7.61,揚31.38
瘦馬行 // 1190 0077,中7.2282,中PDF7.61,揚31.38
新安吏 // 1280 0078,中7.2282,中PDF7.61,揚31.38
潼關吏 // 1294 0079,中7.2283,中PDF7.62,揚31.39
石壕吏 // 1288 0080,中7.2283,中PDF7.62,揚31.39
新婚別 // 1299 0081,中7.2284,中PDF7.63,揚31.39
垂老別 // 1308 0082,中7.2284,中PDF7.63,揚31.40
無家別 // 1316 0083,中7.2284,中PDF7.63,揚31.40
夏日歎 // 1330 0084,中7.2285,中PDF7.64,揚31.41
夏夜歎 // 1334 0085,中7.2285,中PDF7.64,揚31.41
立秋後題 // 1338 0086,中7.2285,中PDF7.64,揚31.41
貽阮隱居 // 1610 0087,中7.2286,中PDF7.65,揚31.42
遣興三首 // 1340-1 0088-1,中7.2286,中PDF7.65,揚31.42
遣興三首 // 1340-2 0088-2,中7.2286,中PDF7.65,揚31.42
遣興三首 // 1340-3 0088-3,中7.2286,中PDF7.65,揚31.42
昔遊 // 5180 0089,中7.2286,中PDF7.65,揚31.43
幽人 // 5889 0090,中7.2287,中PDF7.66,揚31.43
佳人 // 1349 0091,中7.2287,中PDF7.66,揚31.44
赤谷西崦人家 // 1481 0092,中7.2288,中PDF7.67,揚31.44
西枝村尋置草堂地夜宿贊公土室二首 // 1488-1 0093-1,中7.2288,中PDF7.67,揚31.44
西枝村尋置草堂地夜宿贊公土室二首 // 1488-2 0093-2,中7.2288,中PDF7.67,揚31.44
寄贊上人 // 1498 0094,中7.2288,中PDF7.67,揚31.45
太平寺泉眼 // 1503 0095,中7.2288,中PDF7.67,揚31.45
夢李白二首 // 1356-1 0096-1,中7.2289,中PDF7.68,揚31.45
夢李白二首 // 1356-2 0096-2,中7.2289,中PDF7.68,揚31.45
有懷台州鄭十八司戶 // 1366 0097,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1376-1 0098-1,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1376-2 0098-2,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1197-1 0098-3,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1197-2 0098-4,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1197-3 0098-5,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1395-1 0099-1,中7.2290,中PDF7.69,揚31.47
遣興五首 // 1395-2 0099-2,中7.2290,中PDF7.69,揚31.47
遣興五首 // 1395-3 0099-3,中7.2290,中PDF7.69,揚31.47
遣興五首 // 1395-4 0099-4,中7.2290,中PDF7.69,揚31.47
遣興五首 // 1395-5 0099-5,中7.2290,中PDF7.69,揚31.47
遣興五首 // 1390-1 0100-1,中7.2291,中PDF7.70,揚31.47
遣興五首 // 1390-2 0100-2,中7.2291,中PDF7.70,揚31.47
遣興五首 // 1376-3 0100-3,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1376-4 0100-4,中7.2289,中PDF7.68,揚31.46
遣興五首 // 1376-5 0100-5,中7.2289,中PDF7.68,揚31.46
前出塞九首 // 0241-1 0101-1,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-2 0101-2,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-3 0101-3,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-4 0101-4,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-5 0101-5,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-6 0101-6,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-7 0101-7,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-8 0101-8,中7.2292,中PDF7.71,揚31.48
前出塞九首 // 0241-9 0101-9,中7.2292,中PDF7.71,揚31.48
後出塞五首 // 0636-1 0102-1,中7.2293,中PDF7.72,揚31.49
後出塞五首 // 0636-2 0102-2,中7.2293,中PDF7.72,揚31.49
後出塞五首 // 0636-3 0102-3,中7.2293,中PDF7.72,揚31.49
後出塞五首 // 0636-4 0102-4,中7.2293,中PDF7.72,揚31.49
後出塞五首 // 0636-5 0102-5,中7.2293,中PDF7.72,揚31.49
別贊上人 // 1694 0103,中7.2293,中PDF7.72,揚31.50
萬丈潭 // 1801 0104,中7.2294,中PDF7.73,揚31.50
兩當縣吳十侍御江上宅 // 1810 0105,中7.2294,中PDF7.73,揚31.51
發秦州 // 1699 0106,中7.2294,中PDF7.73,揚31.51
赤谷 // 1707 0107,中7.2295,中PDF7.74,揚31.51
鐵堂峽 // 1711 0108,中7.2295,中PDF7.74,揚31.51
鹽井 // 1717 0109,中7.2295,中PDF7.74,揚31.51
寒硤 // 1722 0110,中7.2296,中PDF7.75,揚31.52
法鏡寺 // 1727 0111,中7.2296,中PDF7.75,揚31.52
青陽峽 // 1733 0112,中7.2296,中PDF7.75,揚31.53
龍門鎭 // 1740 0113,中7.2296,中PDF7.75,揚31.53
石龕 // 1744 0114,中7.2297,中PDF7.76,揚31.53
積草嶺 // 1750 0115,中7.2297,中PDF7.76,揚31.53
泥功山 // 1755 0116,中7.2297,中PDF7.76,揚31.54
鳳凰臺 // 1759 0117,中7.2297,中PDF7.76,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-1 0118-1,中7.2298,中PDF7.77,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-2 0118-2,中7.2298,中PDF7.77,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-3 0118-3,中7.2298,中PDF7.77,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-4 0118-4,中7.2298,中PDF7.77,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-5 0118-5,中7.2298,中PDF7.77,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-6 0118-6,中7.2298,中PDF7.77,揚31.54
乾元中寓居同谷縣作歌七首 // 1770-7 0118-7,中7.2298,中PDF7.77,揚31.54
發同谷縣 // 1821 0119,中7.2299,中PDF7.78,揚31.55
木皮嶺 // 1828 0120,中7.2299,中PDF7.78,揚31.56
白沙渡 // 1835 0121,中7.2299,中PDF7.78,揚31.56
水會渡 // 1840 0122,中7.2299,中PDF7.78,揚31.56
飛仙閣 // 1846 0123,中7.2300,中PDF7.79,揚31.57
五盤 // 1853 0124,中7.2300,中PDF7.79,揚31.57
龍門閣 // 1857 0125,中7.2300,中PDF7.79,揚31.57
石櫃閣 // 1863 0126,中7.2300,中PDF7.80,揚31.57
桔柏渡 // 1868 0127,中7.2301,中PDF7.80,揚31.58
劍門 // 1873 0128,中7.2301,中PDF7.80,揚31.58
鹿頭山 // 1885 0129,中7.2301,中PDF7.80,揚31.58
成都府 // 1892 0130,中7.2302,中PDF7.81,揚31.58
石筍行 // 1982 0131,中7.2303,中PDF7.82,揚31.59
石犀行 // 1988 0132,中7.2303,中PDF7.82,揚31.59
杜鵑行 // 1989 0133,中7.2303,中PDF7.82,揚31.60
贈蜀僧閭丘師兄 // 2052 0134,中7.2304,中PDF7.83,揚31.60
泛溪 // 2031 0135,中7.2304,中PDF7.83,揚31.61
題壁畫馬歌 // 1998 0136,中7.2305,中PDF7.84,揚31.61
戲題畫山水圖歌 // 2001 0137,中7.2305,中PDF7.84,揚31.61
題李尊師松樹障子歌 // 1079 0138,中7.2305,中PDF7.84,揚31.62
戲爲雙松圖歌 // 2008 0139,中7.2305,中PDF7.84,揚31.62
投簡成華兩縣諸子 // 0262 0140,中7.2306,中PDF7.85,揚31.62
徐卿二子歌 // 2326 0141,中7.2306,中PDF7.85,揚31.63
病柏 // 2358 0142,中7.2306,中PDF7.85,揚31.63
病橘 // 2364 0143,中7.2306,中PDF7.85,揚31.63
枯椶 // 2371 0144,中7.2307,中PDF7.86,揚31.63
枯柟 // 2377 0145,中7.2307,中PDF7.86,揚31.64
麗春 // 2516-2 0146,中7.2307,中PDF7.86,揚31.64
丈人山 // 2393 0147,中7.2307,中PDF7.86,揚31.64
百憂集行 // 2353 0148,中7.2308,中PDF7.87,揚31.64
戲作花卿歌 // 2329 0149,中7.2308,中PDF7.87,揚31.65
入奏行贈西山檢察使竇侍御 // 2460 0150,中7.2308,中PDF7.87,揚31.65
柟樹爲風雨所拔歎 // 2339 0151,中7.2309,中PDF7.88,揚31.66
茅屋爲秋風所破歌 // 2345 0152,中7.2309,中PDF7.88,揚31.66
大雨 // 2594 0153,中7.2310,中PDF7.89,揚31.66
溪漲 // 2598 0154,中7.2310,中PDF7.89,揚31.67
戲贈友二首 // 2591-1 0155-1,中7.2310,中PDF7.89,揚31.67
戲贈友二首 // 2591-2 0155-2,中7.2310,中PDF7.89,揚31.67
遭田父泥飲美嚴中丞 // 2552 0156,中7.2311,中PDF7.90,揚31.67
喜雨 // 2846 0157,中7.2311,中PDF7.90,揚31.68
漁陽 // 2743 0158,中7.2311,中PDF7.90,揚31.68
天邊行 // 3018 0159,中7.2311,中PDF7.90,揚31.68
大麥行 // 2600 0160,中7.2312,中PDF7.91,揚31.68
苦戰行 // 2641 0161,中7.2312,中PDF7.91,揚31.69
去秋行 // 2643 0162,中7.2312,中PDF7.91,揚31.69
述古三首 // 2862-1 0163-1,中7.2312,中PDF7.91,揚31.69
述古三首 // 2862-2 0163-2,中7.2312,中PDF7.91,揚31.69
述古三首 // 2862-3 0163-3,中7.2312,中PDF7.91,揚31.69
觀打魚歌 // 2621 0164,中7.2314,中PDF7.93,揚31.70
又觀打魚 // 2624 0165,中7.2314,中PDF7.93,揚31.70
越王樓歌 // 2628 0166,中7.2314,中PDF7.93,揚31.71
海棕行 // 2631 0167,中7.2315,中PDF7.94,揚31.71
姜楚公畫角鷹歌 // 2633 0168,中7.2315,中PDF7.94,揚31.71
相逢歌贈嚴二別駕 // 2685 0169,中7.2315,中PDF7.94,揚31.71
光祿坂行 // 2639 0170,中7.2315,中PDF7.94,揚31.72
冬到金華山觀因得故拾遺陳公學堂遺跡 // 2698 0171,中7.2316,中PDF7.95,揚31.72
陳拾遺故宅 // 2703 0172,中7.2316,中PDF7.95,揚31.72
謁文公上方 // 2707 0173,中7.2316,中PDF7.95,揚31.72
奉贈射洪李四丈 // 2713 0174,中7.2316,中PDF7.95,揚31.73
早發射洪縣南途中作 // 2716 0175,中7.2317,中PDF7.96,揚31.73
通泉驛南去通泉縣十五里山水作 // 2720 0176,中7.2317,中PDF7.96,揚31.73
過郭代公故宅 // 2723 0177,中7.2317,中PDF7.96,揚31.74
觀薛稷少保書畫壁 // 2728 0178,中7.2318,中PDF7.97,揚31.74
通泉縣署屋壁後薛少保畫鶴 // 2733 0179,中7.2318,中PDF7.97,揚31.74
陪王侍御同登東山最高頂宴姚通泉晚攜酒泛江 // 2739 0180,中7.2318,中PDF7.97,揚31.75
春日戲題惱郝使君兄 // 2759 0181,中7.2319,中PDF7.98,揚31.75
短歌行贈王郞司直 // 5483 0182,中7.2319,中PDF7.98,揚31.75
短歌行送祁錄事歸合州因寄蘇使君 // 2852 0183,中7.2319,中PDF7.98,揚31.76
陪章留後惠義寺餞嘉州崔都督赴州 // 2875 0184,中7.2319,中PDF7.98,揚31.76
將適吳楚留別章使君留後兼幕府諸公得柳字 // 3005 0185,中7.2319,中PDF7.98,揚31.76
山寺 // 2994 0186,中7.2320,中PDF7.99,揚31.77
椶拂子 // 2886 0187,中7.2320,中PDF7.99,揚31.77
桃竹杖引贈章留後 // 3000 0188,中7.2320,中PDF7.99,揚31.77
寄題江外草堂 // 2856 0189,中7.2321,中PDF7.100,揚31.78
韋諷錄事宅觀曹將軍畫馬圖 // 3207 0190,中7.2321,中PDF7.100,揚31.78
送韋諷上閬州錄事參軍 // 3214 0191,中7.2322,中PDF7.101,揚31.79
丹青引贈曹將軍霸 // 3200 0192,中7.2322,中PDF7.101,揚31.79
閬州東樓筵奉送十一舅往青城縣得昏字 // 2935 0193,中7.2323,中PDF7.102,揚31.80
嚴氏溪放歌行 // 2945 0194,中7.2323,中PDF7.102,揚31.80
南池 // 2925 0195,中7.2323,中PDF7.102,揚31.80
發閬中 // 2986 0196,中7.2324,中PDF7.103,揚31.81
寄韓諫議 // 4822 0197,中7.2324,中PDF7.103,揚31.81
憶昔二首 // 3236-1 0198-1,中7.2324,中PDF7.103,揚31.81
憶昔二首 // 3236-2 0198-2,中7.2324,中PDF7.103,揚31.81
冬狩行 // 2988 0199,中7.2325,中PDF7.104,揚31.82
自平 // 5269 0200,中7.2325,中PDF7.104,揚31.83
釋悶 // 3056 0201,中7.2326,中PDF7.105,揚31.83
贈別賀蘭銛 // 3088 0202,中7.2326,中PDF7.105,揚31.83
別唐十五誡因寄禮部賈侍郞 // 3304 0203,中7.2326,中PDF7.105,揚31.83
閬山歌 // 3074 0204,中7.2326,中PDF7.105,揚31.84
閬水歌 // 3077 0205,中7.2327,中PDF7.106,揚31.84
草堂 // 3141 0206,中7.2327,中PDF7.106,揚31.84
四松 // 3151 0207,中7.2327,中PDF7.106,揚31.85
水檻 // 3155 0208,中7.2328,中PDF7.107,揚31.85
破船 // 3158 0209,中7.2328,中PDF7.107,揚31.86
營屋 // 3365 0210,中7.2328,中PDF7.107,揚31.86
除草 // 3342 0211,中7.2329,中PDF7.108,揚31.86
揚旗 // 3229 0212,中7.2329,中PDF7.108,揚31.86
太子張舍人遺織成褥段 // 3249 0213,中7.2329,中PDF7.108,揚31.87
莫相疑行 // 3373 0214,中7.2330,中PDF7.109,揚31.87
別蔡十四著作 // 3516 0215,中7.2330,中PDF7.109,揚31.87
杜鵑 // 3491 0216,中7.2331,中PDF7.110,揚32.3
客居 // 3504 0217,中7.2331,中PDF7.110,揚32.4
客堂 // 3537 0218,中7.2332,中PDF7.111,揚32.4
石硏詩 // 0338 0219,中7.2332,中PDF7.111,揚32.5
水閣朝霽奉簡嚴雲安 // 3488 0220,中7.2332,中PDF7.111,揚32.5
贈鄭十八賁 // 3511 0221,中7.2333,中PDF7.112,揚32.5
三韻三篇 // 3381-1 0222-1,中7.2333,中PDF7.112,揚32.5
三韻三篇 // 3381-2 0222-2,中7.2333,中PDF7.112,揚32.5
三韻三篇 // 3381-3 0222-3,中7.2333,中PDF7.112,揚32.5
青絲 // 3463 0223,中7.2333,中PDF7.112,揚32.6
近聞 // 3502 0224,中7.2333,中PDF7.112,揚32.6
蠶穀行 // 5932 0225,中7.2334,中PDF7.113,揚32.6
折檻行 // 4355 0226,中7.2334,中PDF7.113,揚32.6
引水 // 3544 0227,中7.2334,中PDF7.113,揚32.7
古柏行 // 3575 0228,中7.2334,中PDF7.113,揚32.7
縛雞行 // 4350 0229,中7.2335,中PDF7.114,揚32.7
負薪行 // 3583 0230,中7.2335,中PDF7.114,揚32.7
最能行 // 3587 0231,中7.2335,中PDF7.114,揚32.8
寄裴施州 // 5275 0232,中7.2335,中PDF7.114,揚32.8
鄭典設自施州歸 // 5281 0233,中7.2336,中PDF7.115,揚32.8
柴門 // 4566 0234,中7.2336,中PDF7.115,揚32.9
貽華陽柳少府 // 3612 0235,中7.2337,中PDF7.116,揚32.10
雷 // 3619 0236,中7.2337,中PDF7.116,揚32.10
火 // 3643 0237,中7.2338,中PDF7.117,揚32.10
七月三日亭午已後校熱退晚加小涼穩睡有詩因論壯年樂事戲呈元二十一曹長 // 3633 0238,中7.2338,中PDF7.117,揚32.11
牽牛織女 // 3649 0239,中7.2338,中PDF7.117,揚32.11
毒熱寄簡崔評事十六弟 // 3658 0240,中7.2339,中PDF7.118,揚32.12
殿中楊監見示張旭草書圖 // 3714 0241,中7.2339,中PDF7.118,揚32.12
楊監又出畫鷹十二扇 // 3718 0242,中7.2340,中PDF7.119,揚32.13
送殿中楊監赴蜀見相公 // 3721 0243,中7.2340,中PDF7.119,揚32.13
贈李十五丈別 // 3726 0244,中7.2340,中PDF7.119,揚32.13
西閣曝日 // 4278 0245,中7.2341,中PDF7.120,揚32.14
課伐木 // 4556 0246,中7.2341,中PDF7.120,揚32.14
園人送瓜 // 4551 0247,中7.2342,中PDF7.121,揚32.15
信行遠修水筒 // 3664 0248,中7.2342,中PDF7.121,揚32.15
槐葉冷淘 // 4573 0249,中7.2342,中PDF7.121,揚32.15
行官張望補稻畦水歸 // 4627 0250,中7.2342,中PDF7.121,揚32.16
催宗文樹雞柵 // 3670 0251,中7.2343,中PDF7.122,揚32.16
園官送菜 // 4546 0252,中7.2343,中PDF7.122,揚32.17
上後園山脚 // 4578 0253,中7.2343,中PDF7.122,揚32.17
驅豎子摘蒼耳 // 3678 0254,中7.2344,中PDF7.123,揚32.17
秋行官張望督促東渚耗稻向畢清晨遣女奴阿稽豎子阿段往問 // 4644 0255,中7.2344,中PDF7.123,揚32.18
阻雨不得歸瀼西甘林 // 4653 0256,中7.2344,中PDF7.123,揚32.18
雨 // 3694 0257,中7.2345,中PDF7.124,揚32.19
雨二首 // 3702-1 0258-1,中7.2345,中PDF7.124,揚32.19
雨二首 // 3702-2 0258-2,中7.2345,中PDF7.124,揚32.19
晚登瀼上堂 // 4496 0259,中7.2345,中PDF7.124,揚32.19
又上後園山脚 // 4659 0260,中7.2346,中PDF7.125,揚32.20
雨 // 4679 0261,中7.2346,中PDF7.125,揚32.20
甘林 // 4667 0262,中7.2347,中PDF7.126,揚32.20
雨 // 3698 0263,中7.2347,中PDF7.126,揚32.21
種萵苣 // 3686 0264,中7.2347,中PDF7.126,揚32.21
暇日小園散病將種秋菜督勒耕牛兼書觸目 // 4673 0265,中7.2348,中PDF7.127,揚32.22
八哀詩 // 3955-1 0266-1,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-2 0266-2,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-3 0266-3,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-4 0266-4,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-5 0266-5,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-6 0266-6,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-7 0266-7,中7.2349,中PDF7.128,揚32.23
八哀詩 // 3955-8 0266-8,中7.2349,中PDF7.128,揚32.23
寫懷二首 // 5288-1 0267-1,中7.2355,中PDF7.134,揚32.30
寫懷二首 // 5288-2 0267-2,中7.2355,中PDF7.134,揚32.30
可歎 // 5297 0268,中7.2355,中PDF7.134,揚32.30
觀公孫大娘弟子舞劍器行 // 5308 0269,中7.2356,中PDF7.135,揚32.31
往在 // 4129 0270,中7.2357,中PDF7.136,揚32.32
昔遊 // 4110 0271,中7.2357,中PDF7.136,揚32.33
壯遊 // 4083 0272,中7.2358,中PDF7.137,揚32.33
遣懷 // 4119 0273,中7.2359,中PDF7.138,揚32.35
同元使君舂陵行 // 4813 0274,中7.2359,中PDF7.138,揚32.35
李潮八分小篆歌 // 4213 0275,中7.2360,中PDF7.139,揚32.36
覽柏中允兼子姪數人除官制詞因述父子兄弟四美載歌絲綸 // 4291 0276,中7.2361,中PDF7.140,揚32.37
聽楊氏歌 // 3863 0277,中7.2361,中PDF7.140,揚32.37
荆南兵馬使太常卿趙公大食刀歌 // 4318 0278,中7.2361,中PDF7.140,揚32.37
王兵馬使二角鷹 // 4328 0279,中7.2362,中PDF7.141,揚32.38
狄明府 // 4803 0280,中7.2362,中PDF7.141,揚32.38
秋風二首 // 4686-1 0281-1,中7.2363,中PDF7.142,揚32.39
秋風二首 // 4686-2 0281-2,中7.2363,中PDF7.142,揚32.39
久雨期王將軍不至 // 5253 0282,中7.2363,中PDF7.142,揚32.39
別李祕書始興寺所居 // 4750 0283,中7.2363,中PDF7.142,揚32.40
虎牙行 // 5261 0284,中7.2364,中PDF7.143,揚32.40
錦樹行 // 5265 0285,中7.2364,中PDF7.143,揚32.40
赤霄行 // 3377 0286,中7.2364,中PDF7.143,揚32.41
前苦寒行二首 // 5360-1 0287-1,中7.2364,中PDF7.143,揚32.41
前苦寒行二首 // 5360-2 0287-2,中7.2364,中PDF7.143,揚32.41
後苦寒行二首 // 5364-1 0288-1,中7.2365,中PDF7.144,揚32.41
後苦寒行二首 // 5364-2 0288-2,中7.2365,中PDF7.144,揚32.41
晚晴 // 5369 0289,中7.2365,中PDF7.144,揚32.42
復陰 // 5372 0290,中7.2365,中PDF7.144,揚32.42
夜歸 // 5357 0291,中7.2366,中PDF7.145,揚32.42
寄柏學士林居 // 5110 0292,中7.2366,中PDF7.145,揚32.42
寄從孫崇簡 // 5113 0293,中7.2366,中PDF7.145,揚32.43
奉酬薛十二丈判官見贈 // 4786 0294,中7.2366,中PDF7.145,揚32.42
醉爲馬墜諸公攜酒相看 // 4501 0295,中7.2367,中PDF7.146,揚32.44
別李義 // 5379 0296,中7.2367,中PDF7.146,揚32.44
送高司直尋封閬州 // 5335 0297,中7.2368,中PDF7.147,揚32.45
君不見簡蘇徯 // 4754 0298,中7.2368,中PDF7.147,揚32.45
贈蘇四徯 // 4758 0299,中7.2368,中PDF7.147,揚32.45
寄薛三郞中 // 4489 0300,中7.2369,中PDF7.148,揚32.46
大覺高僧蘭若 // 5188 0301,中7.2369,中PDF7.148,揚32.46
宿青溪驛奉懷張員外十五兄之緒 // 3393 0302,中7.2370,中PDF7.149,揚32.47
敬寄族弟唐十八使君 // 5427 0303,中7.2370,中PDF7.149,揚32.47
