杜工部詩集卷之一
開元天寶間公居東都遊齊趙及歸京師作
遊龍門奉先寺 // 0042 PDF75,哈PDF50
日暮 // 1584 PDF307,哈PDF296
野望 // 1586 PDF307,哈PDF296
空囊 // 1571 PDF307,哈PDF297
病馬 // 1575 PDF308,哈PDF297
蕃劔 // 1577 PDF308,哈PDF297
銅瓶 // 1580 PDF308,哈PDF298
送遠 // 1590 PDF309,哈PDF298
送人從軍 // 1594 PDF309,哈PDF298
示姪佐 // 1597 PDF310,哈PDF299
佐還山後寄三首 // 1600 PDF310,哈PDF299
從人覔小胡孫許寄 // 1607 PDF311,哈PDF300
秋日阮隱居致薤三十束 // 1614 PDF311,哈PDF300
秦州見勑目薛三據授司議郎畢四曜除監察與二子有故遠喜遷官兼述索居凡三十韻 // 1616 PDF312,哈PDF300
寄彭州高三十五使君適虢州岑二十七長史參三十韻 // 1629 PDF314,哈PDF302
寄岳州賈司馬六丈巴州嚴八使君兩閣老五十韻 // 1642 PDF317,哈PDF306
寄張十二山人彪三十韻 // 1666 PDF321,哈PDF310
寄李十二白二十韻 // 1681 PDF323,哈PDF312
别贊上人 // 1694 PDF326,哈PDF315
兩當縣吳十侍御江上宅 // 1810 PDF326,哈PDF316

杜工部詩集卷之七
乾元上元間公赴同谷居成都作
發秦州 // 1699 PDF328,哈PDF320
赤谷 // 1707 PDF329,哈PDF321
鐵堂峽 // 1711 PDF329,哈PDF322
鹽井 // 1717 PDF330,哈PDF322
寒硤 // 1722 PDF331,哈PDF323
法鏡寺 // 1727 PDF331,哈PDF323
青陽峽 // 1733 PDF332,哈PDF324
龍門鎭 // 1740 PDF332,哈PDF324
石龕 // 1744 PDF333,哈PDF325
積草嶺 // 1750 PDF333,哈PDF326
泥功山 // 1755 PDF334,哈PDF326
鳳凰臺 // 1759 PDF334,哈PDF326
乾元中寓居同谷縣作歌七首 // 1770 PDF336,哈PDF328
萬丈潭 // 1801 PDF337,哈PDF330
發同谷縣 // 1821 PDF339,哈PDF332
木皮嶺 // 1828 PDF340,哈PDF332
白沙渡 // 1835 PDF341,哈PDF333
水會渡 // 1840 PDF341,哈PDF333
飛仙閣 // 1846 PDF342,哈PDF334
五盤 // 1853 PDF342,哈PDF334
龍門閣 // 1857 PDF343,哈PDF335
石櫃閣 // 1863 PDF343,哈PDF335
桔柏渡 // 1868 PDF344,哈PDF336
劔門 // 1873 PDF345,哈PDF336
鹿頭山 // 1885 PDF345,哈PDF337
成都府 // 1892 PDF346,哈PDF338
卜居 // 1907 PDF347,哈PDF339
王十五司馬弟出郭相訪兼遺營草堂貲 // 1912 PDF348,哈PDF340
堂成 // 1926 PDF348,哈PDF340
蜀相 // 1930 PDF349,哈PDF340
梅雨 // 1940 PDF349,哈PDF341
爲農 // 1944 PDF350,哈PDF341
賓至 // 1953 PDF350,哈PDF341
有客 // 1947 PDF350,哈PDF342
狂夫 // 1955 PDF351,哈PDF342
田舍 // 1962 PDF351,哈PDF342
進艇 // 2294 PDF351,哈PDF343
江村 // 1965 PDF352,哈PDF343
江漲 // 1970 PDF352,哈PDF343
野老 // 1972 PDF352,哈PDF344
所思 // 1373 PDF353,哈PDF344
雲山 // 1977 PDF353,哈PDF345
遣興 // 1980 PDF354,哈PDF345
一室 // 2300 PDF354,哈PDF345
石笋行 // 1982 PDF354,哈PDF345
石犀行 // 1988 PDF355,哈PDF347
杜鵑行 // 1989 PDF357,哈PDF348
絕句漫興九首 // 2232 PDF357,哈PDF349
贈蜀僧閭丘師兄 // 2052 PDF359,哈PDF350
泛溪 // 2031 PDF361,哈PDF352
題壁上韋偃畫歌 // 1998 PDF361,哈PDF352
戲題王宰畫山水圖歌 // 2001 PDF362,哈PDF353
戲韋偃爲雙松圖歌 // 2008 PDF362,哈PDF354
北鄰 // 2013 PDF363,哈PDF355
南鄰 // 2016 PDF364,哈PDF355
因崔五侍御寄高彭州一絕 // 2023 PDF364,哈PDF356
奉簡高三十五使君 // 2025 PDF365,哈PDF356
酬高使君相贈 // 1903 PDF365,哈PDF356
和裴迪登新津寺寄王侍郎 // 2027 PDF366,哈PDF357
出郭 // 2036 PDF367,哈PDF358
恨别 // 2040 PDF367,哈PDF358
散愁二首 // 2047 PDF368,哈PDF359
寄楊五桂州譚 // 2076 PDF368,哈PDF359

杜工部詩集卷之八
上元寶應間公居成都作
建都十二韻 // 2061 PDF370,哈PDF362
歲暮 // 3016 PDF372,哈PDF364
和裴迪登蜀州東亭送客逢早梅相憶見寄 // 2080 PDF372,哈PDF364
暮登四安寺鐘樓寄裴十迪 // 2110 PDF373,哈PDF365
寄贈王十將軍承俊 // 3386 PDF373,哈PDF365
奉酬李都督表丈早春作 // 2100 PDF373,哈PDF366
西郊 // 2093 PDF374,哈PDF366
客至 // 2131 PDF374,哈PDF366
遣意二首 // 2139 PDF375,哈PDF367
漫成二首 // 2148 PDF375,哈PDF367
春夜喜雨 // 2125 PDF376,哈PDF368
春水 // 2183 PDF376,哈PDF368
江亭 // 2186 PDF377,哈PDF368
村夜 // 2073 PDF377,哈PDF369
早起 // 2193 PDF377,哈PDF369
可惜 // 2207 PDF377,哈PDF369
落日 // 2198 PDF378,哈PDF369
獨酌 // 2202 PDF378,哈PDF369
徐步 // 2211 PDF378,哈PDF370
寒食 // 2215 PDF379,哈PDF370
石鏡 // 2266 PDF379,哈PDF370
琴臺 // 2270 PDF379,哈PDF371
春水生二絕 // 2161 PDF380,哈PDF371
江上値水如海勢聊短述 // 2165 PDF380,哈PDF371
水檻遣心二首 // 2177 PDF381,哈PDF372
題新津北橋樓得郊字 // 2106 PDF381,哈PDF372
遊修覺寺 // 2115 PDF381,哈PDF372
後遊 // 2119 PDF382,哈PDF373
江漲 // 2263 PDF382,哈PDF373
朝雨 // 2277 PDF382,哈PDF373
晚晴 // 2281 PDF383,哈PDF373
高柟 // 2286 PDF383,哈PDF374
惡樹 // 2289 PDF383,哈PDF374
江畔獨步尋花七絕句 // 2219 PDF384,哈PDF374
聞斛斯六官未歸 // 2311 PDF385,哈PDF375
赴青城縣出成都寄陶王二少尹 // 2383 PDF385,哈PDF376
野望因過常少仙 // 2389 PDF386,哈PDF376
寄杜位 // 2405 PDF387,哈PDF377
丈人山 // 2393 PDF387,哈PDF377
送裴五赴東川 // 2318 PDF388,哈PDF378
送韓十四江東省覲 // 2410 PDF388,哈PDF378
柟樹爲風雨所拔歎 // 2339 PDF389,哈PDF379
茅屋爲秋風所破歌 // 2345 PDF389,哈PDF379
逢唐興劉主簿弟 // 2395 PDF390,哈PDF380
敬簡王明府 // 2398 PDF390,哈PDF380
重簡王明府 // 2402 PDF391,哈PDF381
百憂集行 // 2353 PDF391,哈PDF381
投簡成華兩縣諸子 // 0262 PDF392,哈PDF381
徐卿二子歌 // 2326 PDF392,哈PDF382
戲作花卿歌 // 2329 PDF393,哈PDF383
病栢 // 2358 PDF394,哈PDF384
病橘 // 2364 PDF394,哈PDF384
枯㯶 // 2371 PDF395,哈PDF385
枯柟 // 2377 PDF396,哈PDF386
所思 // 2306 PDF396,哈PDF386
不見 // 2417 PDF397,哈PDF387
草堂卽事 // 2424 PDF397,哈PDF387
徐九少尹見過 // 2429 PDF398,哈PDF387
范二員外邈吳十侍御郁特枉駕闕展待聊寄此作 // 2432 PDF398,哈PDF388
王十七侍御掄許攜酒至草堂奉寄此詩便請邀高三十五使君同到 // 2435 PDF398,哈PDF388
王竟攜酒高亦同過共用寒字 // 2442 PDF399,哈PDF389
陪李七司馬皂江上觀造竹橋卽日成往來之人免冬寒入水聊題短作簡李公 // 2445 PDF399,哈PDF389
觀作橋成月夜舟中有述還呈李司馬 // 2445 PDF400,哈PDF390
李司馬橋成高使君自成都回 // 2453 PDF400,哈PDF390
蕭八明府寔處覓桃栽 // 1915 PDF401,哈PDF390
從韋二明府續處覓綿竹 // 1917 PDF401,哈PDF391
憑何十一少府邕覓榿木栽 // 1919 PDF401,哈PDF391
憑韋少府班覓松樹子栽 // 1921 PDF402,哈PDF391
又於韋處乞大邑瓷盌 // 1923 PDF402,哈PDF391
詣徐卿覓果栽 // 1924 PDF402,哈PDF391
入奏行贈西山檢察使竇侍御 // 2460 PDF402,哈PDF392
廣州段功曹到得楊五長史書功曹却歸聊寄此詩 // 2472 PDF404,哈PDF394
得廣州張判官叔卿書使還以詩代意 // 2476 PDF405,哈PDF394
送段功曹歸廣州 // 2480 PDF405,哈PDF394
魏十四侍御就弊廬相别 // 2484 PDF406,哈PDF395
贈别何邕 // 2487 PDF406,哈PDF395
贈别鄭鍊赴襄陽 // 2493 PDF407,哈PDF396
重贈鄭鍊絕句 // 2497 PDF407,哈PDF396
江頭五詠 // 2516 PDF407,哈PDF396
野望 // 2454 PDF409,哈PDF398
畏人 // 2527 PDF410,哈PDF398
屛迹三首 // 2530 PDF410,哈PDF398
少年行二首 // 2256 PDF411,哈PDF399
少年行 // 2537 PDF411,哈PDF400
贈花卿 // 2335 PDF412,哈PDF400
卽事 // 2541 PDF412,哈PDF400

杜工部詩集卷之九
寶應中公居成都客梓州作
遭田父泥飲美嚴中丞 // 2552 PDF413,哈PDF406
嚴中丞枉駕見過 // 2548 PDF414,哈PDF407
奉酬嚴公寄題野亭之作 // 2542 PDF414,哈PDF408
奉和嚴中丞西城晚眺十韻 // 2560 PDF416,哈PDF409
中丞嚴公雨中垂寄見憶一絕奉答二絕 // 2565 PDF416,哈PDF410
謝嚴中丞送青城山道士乳酒一甁 // 2568 PDF417,哈PDF410
三絕句 // 2570 PDF417,哈PDF411
戲爲六絕句 // 2501 PDF418,哈PDF411
野人送朱櫻 // 2576 PDF420,哈PDF413
題桃樹 // 3148 PDF420,哈PDF413
嚴公仲夏枉駕草堂兼攜酒饌得寒字 // 2582 PDF421,哈PDF414
嚴公廳宴同詠蜀道畫圖得空字 // 2588 PDF421,哈PDF414
戲贈友二首 // 2591 PDF422,哈PDF415
大雨 // 2594 PDF422,哈PDF415
溪漲 // 2598 PDF423,哈PDF416
大麥行 // 2600 PDF424,哈PDF416
苦戰行 // 2641 PDF424,哈PDF417
去秋行 // 2643 PDF425,哈PDF417
奉送嚴公入朝十韻 // 2603 PDF425,哈PDF418
送嚴侍郎到綿州同登杜使君江樓宴得心字 // 2608 PDF426,哈PDF419
奉濟驛重送嚴公四韻 // 2613 PDF427,哈PDF420
送梓州李使君之任 // 2615 PDF428,哈PDF420
觀打魚歌 // 2621 PDF428,哈PDF421
又觀打魚 // 2624 PDF429,哈PDF422
越王樓歌 // 2628 PDF430,哈PDF423
海棕行 // 2631 PDF430,哈PDF423
姜楚公畫角鷹歌 // 2633 PDF431,哈PDF424
巴西驛亭觀江漲呈竇十五使君 // 2823 PDF431,哈PDF424
述古三首 // 2862 PDF432,哈PDF425
宗武生日 // 2647 PDF433,哈PDF426
光祿坂行 // 2639 PDF434,哈PDF427
題玄武禪師屋壁 // 2654 PDF434,哈PDF427
悲秋 // 2658 PDF435,哈PDF428
客夜 // 2661 PDF435,哈PDF428
客亭 // 2664 PDF436,哈PDF428
九日登梓州城 // 2667 PDF436,哈PDF428
九日奉寄嚴大夫 // 2670 PDF436,哈PDF429
戲題寄上漢中王三首 // 2674 PDF437,哈PDF429
翫月呈漢中王 // 2681 PDF438,哈PDF430
相從行贈嚴二别駕 // 2685 PDF439,哈PDF431
秋盡 // 2690 PDF440,哈PDF432
野望 // 2694 PDF440,哈PDF432
冬到金華山觀因得故拾遺陳公學堂遺跡 // 2698 PDF441,哈PDF433
陳拾遺故宅 // 2703 PDF442,哈PDF434
謁文公上方 // 2707 PDF442,哈PDF434
奉贈射洪李四丈 // 2713 PDF444,哈PDF436
早發射洪縣南途中作 // 2716 PDF444,哈PDF436
通泉驛南去通泉縣十五里山水作 // 2720 PDF445,哈PDF437
過郭代公故宅 // 2723 PDF445,哈PDF437
觀薛稷少保書畫壁 // 2728 PDF446,哈PDF438
通泉縣署屋壁後薛少保畫鶴 // 2733 PDF447,哈PDF439
陪王侍御同登東山最高頂宴姚通泉晚攜酒泛江 // 2739 PDF448,哈PDF440
陪王侍御宴通泉東山野亭 // 2737 PDF449,哈PDF440
漁陽 // 2743 PDF449,哈PDF441
聞官軍收河南河北 // 2747 PDF450,哈PDF441
遠遊 // 2753 PDF450,哈PDF442

杜工部詩集卷之十
廣德中公往來梓閬作
春日梓州登樓二首 // 2755 PDF451,哈PDF445
春日戲題惱郝使君兄 // 2759 PDF451,哈PDF446
郪城西原送李判官兄武判官弟赴成都府 // 2769 PDF452,哈PDF446
涪江泛舟送韋班歸京得山字 // 2774 PDF452,哈PDF447
泛舟送魏十八倉曹還京因寄岑中允參范郎中季明 // 2776 PDF453,哈PDF447
送路六侍御入朝 // 2779 PDF453,哈PDF447
涪城縣香積寺官閣 // 2771 PDF453,哈PDF447
泛江送客 // 2782 PDF454,哈PDF448
上牛頭寺 // 2784 PDF454,哈PDF448
望牛頭寺 // 2786 PDF454,哈PDF448
上兜率寺 // 2791 PDF455,哈PDF449
望兜率寺 // 2795 PDF456,哈PDF450
登牛頭山亭子 // 2789 PDF456,哈PDF450
甘園 // 2798 PDF456,哈PDF450
陪李梓州王閬州蘇遂州李果州四使君登惠義寺 // 2800 PDF457,哈PDF450
數陪李梓州泛江有女樂在諸舫戲爲艷曲二首贈李 // 2803 PDF457,哈PDF451
送何侍御歸朝 // 2808 PDF458,哈PDF451
江亭送眉州辛别駕昇之得蕪字 // 3086 PDF458,哈PDF452
行次鹽亭縣聊題四韻奉簡嚴遂州蓬州兩使君咨議諸昆季 // 2810 PDF458,哈PDF452
倚杖 // 2814 PDF459,哈PDF452
陪王漢州留杜綿州泛房公西湖 // 2830 PDF459,哈PDF453
得房公池鵝 // 2834 PDF460,哈PDF453
答楊梓州 // 2835 PDF460,哈PDF453
