杜詩詳註卷之一
遊龍門奉先寺 // 0042 1.1,PDF1.74,津PDF2.2,PDF1.82
贈翰林張四學士垍 // 0204 1.98,PDF1.171,津PDF2.66,PDF1.167
樂遊園歌 // 0214 1.101,PDF1.174,津PDF2.68,PDF1.170
同諸公登慈恩寺塔 // 0295 1.103,PDF1.176,津PDF2.69,PDF1.172
投簡咸華兩縣諸子 // 0262 1.107,PDF1.180,津PDF2.72,PDF1.175
杜位宅守歲 // 0266 1.109,PDF1.182,津PDF2.73,PDF1.177
敬贈鄭諫議十韻 // 0311 1.110,PDF1.183,津PDF2.74,PDF1.178
兵車行 // 0229 1.113,PDF1.186,津PDF2.75,PDF1.180
前出塞九首 // 0241 1.118,PDF1.191,津PDF2.79,PDF1.184
送高三十五書記十五韻 // 0388 1.126,PDF1.199,津PDF2.83,PDF1.191
奉留贈集賢院崔于二學士 // 0288 1.130,PDF1.203,津PDF2.86,PDF1.195
貧交行 // 0317 1.133,PDF1.206,津PDF2.87,PDF1.197
送韋書記赴安西 // 0326 1.133,PDF1.206,津PDF2.88,PDF1.197
玄都壇歌寄元逸人 // 0271 1.134,PDF1.207,津PDF2.88,PDF1.198
曲江三章章五句 // 0305 1.137,PDF1.210,津PDF2.90,PDF1.201
奉贈鮮于京兆二十韻 // 0328 1.140,PDF1.213,津PDF2.92,PDF1.203
白絲行 // 0319 1.144,PDF1.217,津PDF2.94,PDF1.206
陪鄭廣文遊何將軍山林十首 // 0356 1.146,PDF1.219,津PDF2.96,PDF1.208
麗人行 // 0342 1.156,PDF1.229,津PDF2.102,PDF1.217
虢國夫人 // 0353 1.162,PDF1.235,津PDF2.105,PDF1.222
九日曲江 // 0396 1.163,PDF1.236,津PDF2.106,PDF1.222

杜詩詳註卷之三
奉陪鄭駙馬韋曲二首 // 1064 1.165,PDF1.238,津PDF3.2,PDF1.224
重過何氏五首 // 0419 1.167,PDF1.240,津PDF3.3,PDF1.225
陪諸貴公子丈八溝攜妓納涼晚際遇雨二首 // 0438 1.172,PDF1.245,津PDF3.6,PDF1.230
醉時歌 // 0409 1.174,PDF1.247,津PDF3.7,PDF1.231
城西陂泛舟 // 0434 1.177,PDF1.250,津PDF3.9,PDF1.234
渼陂行 // 0443 1.179,PDF1.252,津PDF3.10,PDF1.235
渼陂西南臺 // 0456 1.182,PDF1.255,津PDF3.13,PDF1.239
與鄠縣源大少府宴渼陂 // 0452 1.185,PDF1.258,津PDF3.14,PDF1.241
贈田九判官梁丘 // 0557 1.186,PDF1.259,津PDF3.15,PDF1.242
投贈哥舒開府翰二十韻 // 0563 1.188,PDF1.261,津PDF3.16,PDF1.243
寄高三十五書記 // 0406 1.194,PDF1.267,津PDF3.20,PDF1.248
送張二十參軍赴蜀州因呈楊五侍御 // 0403 1.195,PDF1.268,津PDF3.21,PDF1.250
贈陳二補闕 // 0400 1.196,PDF1.269,津PDF3.22,PDF1.251
病後過王倚飲贈歌 // 0223 1.198,PDF1.271,津PDF3.22,PDF1.252
送裴二虬作尉永嘉 // 0481 1.201,PDF1.274,津PDF3.24,PDF1.254
贈獻納使起居田舍人澄 // 0536 1.202,PDF1.275,津PDF3.25,PDF1.255
崔駙馬山亭宴集 // 0499 1.204,PDF1.277,津PDF3.26,PDF1.257
示從孫濟 // 0501 1.205,PDF1.278,津PDF3.27,PDF1.258
九日寄岑參 // 0484 1.208,PDF1.281,津PDF3.28,PDF1.261
嘆庭前甘菊花 // 0490 1.210,PDF1.283,津PDF3.30,PDF1.262
承沈八丈東美除膳部員外郎阻雨未遂馳賀奉寄此詩 // 0494 1.211,PDF1.284,津PDF3.30,PDF1.263
苦雨奉寄隴西公兼呈王徵士 // 0476 1.214,PDF1.287,津PDF3.32,PDF1.265
秋雨歎三首 // 0465 1.216,PDF1.289,津PDF3.33,PDF1.267
奉贈太常張卿垍二十韻 // 0506 1.219,PDF1.292,津PDF3.35,PDF1.270
上韋左相二十韻 // 0581 1.224,PDF1.297,津PDF3.38,PDF1.274
沙苑行 // 0541 1.228,PDF1.301,津PDF3.40,PDF1.278
橋陵詩三十韻因呈縣內諸官 // 0515 1.232,PDF1.305,津PDF3.43,PDF1.280
送蔡希魯都尉還隴右因寄高三十五書記 // 0622 1.238,PDF1.311,津PDF3.46,PDF1.285
醉歌行 // 0598 1.240,PDF1.313,津PDF3.47,PDF1.288
陪李金吾花下飲 // 0605 1.243,PDF1.316,津PDF3.49,PDF1.290
官定後戲贈 // 0633 1.244,PDF1.317,津PDF3.50,PDF1.291
去矣行 // 0652 1.245,PDF1.318,津PDF3.51,PDF1.292
夜聽許十一誦詩愛而有作 // 0592 1.246,PDF1.319,津PDF3.51,PDF1.293
戲簡鄭廣文兼呈蘇司業 // 0576 1.249,PDF1.322,津PDF3.53,PDF1.295
夏日李公見訪 // 0462 1.250,PDF1.323,津PDF3.53,PDF1.296

杜詩詳註卷之四
天育驃圖歌 // 0549 1.253,PDF1.326,津PDF3.55,PDF1.298
驄馬行 // 0608 1.256,PDF1.329,津PDF3.57,PDF1.300
魏將軍歌 // 0615 1.259,PDF1.332,58,PDF1.303
白水明府舅宅喜雨 // 0631 1.262,PDF1.335,津PDF3.60,PDF1.305
九日楊奉先會白水崔明府 // 0627 1.263,PDF1.336,津PDF3.61,PDF1.306
自京赴奉先縣詠懷五百字 // 0668 1.264,PDF1.337,津PDF3.61,PDF1.307
奉先劉少府新畫山水障歌 // 0527 1.275,PDF1.348,津PDF3.67,PDF1.316
奉同郭給事湯東靈湫作 // 0656 1.279,PDF1.352,津PDF3.70,PDF1.319
後出塞五首 // 0636 1.285,PDF1.358,津PDF3.73,PDF1.324
蘇端薛復筵簡薛華醉歌 // 0695 1.292,PDF1.365,津PDF3.78,PDF1.330
晦日尋崔戢李封 // 0703 1.296,PDF1.369,津PDF3.80,PDF1.333
白水崔少府十九翁高齋三十韻 // 0715 1.299,PDF1.372,津PDF3.82,PDF1.336
三川觀水漲二十韻 // 0725 1.304,PDF1.377,津PDF3.84,PDF1.340
月夜 // 0733 1.309,PDF1.382,津PDF3.87,PDF1.344
哀王孫 // 0771 1.310,PDF1.383,津PDF3.88,PDF1.344
悲陳陶 // 0737 1.314,PDF1.387,津PDF3.91,PDF1.348
悲青坂 // 0742 1.316,PDF1.389,津PDF3.92,PDF1.349
避地 // 0745 1.317,PDF1.390,津PDF3.92,PDF1.350
對雪 // 0748 1.318,PDF1.391,津PDF3.93
元日寄韋氏妹 // 0752 1.319,PDF392,津PDF3.93,PDF1.352
春望 // 0779 1.320,PDF1.393,津PDF3.94,PDF1.353
得舍弟消息二首 // 0783 1.321,PDF1.394,津PDF3.95,PDF1.354
憶幼子 // 0786 1.323,PDF1.396,津PDF3.95,PDF1.355
一百五日夜對月 // 0789 1.323,PDF1.396,津PDF3.96,PDF1.356
遣興 // 0794 1.326,PDF1.399,津PDF3.97,PDF1.358
塞蘆子 // 0755 1.327,PDF1.400,津PDF3.97,PDF1.358
哀江頭 // 0760 1.329,PDF1.402,津PDF3.99,PDF1.360
大雲寺贊公房四首 // 0797 1.333,PDF1.406,津PDF3.101,PDF1.364
雨過蘇端 // 0809 1.338,PDF411,津PDF3.105,PDF1.368
喜晴 // 0813 1.340,PDF1.413,津PDF3.106,PDF1.370

杜詩詳註卷之五
送率府程録事還鄉 // 0710 1.343,PDF1.416,津PDF4.2,PDF1.372
鄭駙馬池臺喜遇鄭廣文同飲 // 0819 1.345,PDF1.418,津PDF4.3,PDF1.373
自京竄至鳳翔喜達行在所 // 0824 1.346,PDF419,津PDF4.4,PDF1.375
送樊二十三侍御赴漢中判官 // 0833 1.350,PDF1.423,津PDF4.5,PDF1.377
送韋十六評事充同谷防禦判官 // 0861 1.354,PDF1.427,津PDF4.8,PDF1.381
述懷 // 0841 1.358,PDF1.431,津PDF4.10,PDF1.383
得家書 // 0868 1.360,PDF1.433,津PDF4.11,PDF1.385
送長孫九侍御赴武威判官 // 0848 1.362,PDF435,津PDF4.12,PDF1.387
送從弟亞赴河西判官 // 0853 1.364,PDF1.437,津PDF4.13,PDF1.388
送靈州李判官 // 0896 1.369,PDF1.442,津PDF4.16,PDF1.392
奉送郭中丞兼太僕卿充隴右節度使三十韻 // 0875 1.369,PDF1.442,津PDF4.16,PDF1.392
送楊六判官使西蕃 // 0890 1.378,PDF1.451,津PDF4.19,PDF1.398
哭長孫侍御 // 6497 1.376,PDF1.449,津PDF4.21,PDF1.399
奉贈嚴八閣老 // 0899 1.379,PDF1.452,津PDF4.21,PDF1.400
月 // 0871 1.381,PDF1.454,津PDF4.22,PDF1.402
留别賈嚴二閣老兩院補闕 // 0902 1.382,PDF1.455,津PDF4.23,PDF1.403
晚行口號 // 0917 1.383,PDF1.456,津PDF4.24,PDF1.403
獨酌成詩 // 0922 1.384,PDF1.457,津PDF4.24,PDF1.404
徒步歸行 // 0909 1.385,PDF1.458,津PDF4.25,PDF1.405
九成宮 // 0904 1.386,PDF1.459,津PDF4.26,PDF1.406
玉華宮 // 0912 1.389,PDF1.462,津PDF4.27,PDF1.408
羌村三首 // 0934 1.391,PDF1.464,津PDF4.28,PDF1.410
北征 // 0943 1.395,PDF1.468,津PDF4.30,PDF1.413
行次昭陵 // 0184 1.407,PDF1.480,津PDF4.37,PDF1.422
重經昭陵 // 0199 1.412,PDF1.485,津PDF4.40,PDF1.426
彭衙行 // 0925 1.413,PDF1.486,津PDF4.41,PDF1.428
喜聞官軍已臨賊境二十韻 // 0972 1.417,PDF1.490,津PDF4.43,PDF1.430
收京三首 // 0979 1.421,PDF1.494,津PDF4.45,PDF1.434
送鄭十八虔貶台州司戶傷其臨老陷賊之故闕爲面别情見於詩 // 0989 1.424,PDF1.497,津PDF4.48,PDF1.437
臘日 // 0994 1.426,PDF1.499,津PDF4.49,PDF1.438
奉和賈至舍人早朝大明宮 // 0998 1.427,PDF1.500,津PDF4.49,PDF1.439

杜詩詳註卷之六
宣政殿退朝晚出左掖 // 1013 2.435,PDF2.3,津PDF4.55,PDF1.446
紫宸殿退朝口號 // 1017 2.436,PDF2.4,津PDF4.55,PDF1.447
春宿左省 // 1021 2.438,PDF2.6,津PDF4.57,PDF1.449
晚出左掖 // 1025 2.440,PDF2.8,津PDF4.58,PDF1.450
題省中壁 // 1028 2.441,PDF2.9,津PDF4.59,PDF1.451
送賈閣老出汝州 // 1034 2.443,PDF2.11,津PDF4.60,PDF1.453
送翰林張司馬南海勒碑 // 1037 2.444,PDF2.12,津PDF4.61,PDF1.454
曲江陪鄭八丈南史飲 // 1040 2.445,PDF2.13,津PDF4.62,PDF1.455
曲江二首 // 1045 2.446,PDF2.14,津PDF4.62,PDF1.456
曲江對酒 // 1052 2.449,PDF2.17,津PDF4.64,PDF1.458
曲江對雨 // 1058 2.450,PDF2.18,津PDF4.65,PDF1.459
奉答岑參補闕見贈 // 1006 2.452,PDF2.20,津PDF4.66,PDF1.461
奉贈王中允維 // 1009 2.454,PDF2.22,津PDF4.67,PDF1.462
送許八拾遺歸江寧覲省甫昔時嘗客遊此縣於許生處乞瓦棺寺維摩圖樣志諸篇末 // 1069 2.455,PDF2.23,津PDF4.68,PDF1.463
因許八奉寄江寧旻上人 // 1075 2.458,PDF2.26,津PDF4.69,PDF1.466
題李尊師松樹障子歌 // 1079 2.459,PDF2.27,津PDF4.70,PDF1.466
得舍弟消息 // 1083 2.461,PDF2.29,津PDF4.71,PDF1.468
送李校書二十六韻 // 1085 2.461,PDF2.29,津PDF4.72,PDF1.468
偪側行贈畢四曜 // 1095 2.466,PDF2.34,津PDF4.74,PDF1.472
贈畢四曜 // 1102 2.469,PDF2.37,津PDF4.76,PDF1.474
題鄭十八著作丈故居 // 1105 2.470,PDF2.38,津PDF4.76,PDF1.475
瘦馬行 // 1190 2.472,PDF2.40,津PDF4.77,PDF1.476
義鶻行 // 1110 2.474,PDF2.42,津PDF4.79,PDF1.478
畫鶻行 // 1118 2.477,PDF2.45,津PDF4.80,PDF1.480
端午日賜衣 // 1122 2.478,PDF2.46,津PDF4.81,PDF1.481
酬孟雲卿 // 1126 2.479,PDF2.47,津PDF4.82,PDF1.482
至德二載甫自京金光門出間道歸鳳翔乾元初從左拾遺移華州掾與親故别因出此門有悲往事 // 1129 2.480,PDF2.48,津PDF4.82,PDF1.483
寄高三十五詹事 // 1135 2.482,PDF2.50,津PDF4.83,PDF1.484
贈高式顔 // 4209 2.483,PDF2.51,津PDF4.84,PDF1.485
題鄭縣亭子 // 1139 2.484,PDF2.52,津PDF4.84,PDF1.486
望岳 // 1144 2.485,PDF2.53,津PDF4.85,PDF1.487
早秋苦熱堆案相仍 // 1151 2.487,PDF2.55,津PDF4.86,PDF1.488
觀安西兵過赴關中待命二首 // 1156 2.488,PDF2.56,津PDF4.87,PDF1.489
九日藍田崔氏莊 // 1173 2.490,PDF2.58,津PDF4.88,PDF1.491
崔氏東山草堂 // 1183 2.492,PDF2.60,津PDF4.89,PDF1.492
遣興三首 // 1197 2.493,PDF2.61,津PDF4.90,PDF1.493
獨立 // 1248 2.495,PDF2.63,津PDF4.91,PDF1.495
至日遣興奉寄北省舊閣老兩院故人二首 // 1204 2.496,PDF2.64,津PDF4.91,PDF1.496
路逢襄陽楊少府入城戲呈楊四員外綰 // 1212 2.499,PDF2.67,津PDF4.93,PDF1.498
冬末以事之東都湖城東遇孟雲卿復歸劉顥宅宿宴飲散因爲醉歌 // 1225 2.500,PDF2.68,津PDF4.94,PDF1.499
閿鄉姜七少府設鱠戲贈長歌 // 1216 2.502,PDF2.70,津PDF4.95,PDF1.500
戲贈閿鄉秦少府短歌 // 1222 2.504,PDF2.72,津PDF4.97,PDF1.502
李鄠縣丈人胡馬行 // 1230 2.506,PDF2.74,津PDF4.97,PDF1.503
觀兵 // 1243 2.507,PDF2.75,津PDF4.98,PDF1.505
憶弟二首 // 1233 2.508,PDF2.76,津PDF4.99,PDF1.506
得舍弟消息 // 1238 2.510,PDF2.78,津PDF4.100,PDF1.507
不歸 // 1245 2.511,PDF2.79,津PDF4.100,PDF1.508
贈衞八處士 // 1324 2.512,PDF2.80,津PDF4.101,PDF1.508
洗兵行 // 1252 2.514,PDF2.82,津PDF4.102,PDF1.510

杜詩詳註卷之七
新安吏 // 1280 2.523,PDF2.91,津PDF5.2,
潼關吏 // 1294 2.526,PDF2.94,津PDF5.4,
石壕吏 // 1288 2.528,PDF2.96,津PDF5.5,
新婚别 // 1299 2.530,PDF2.98,津PDF5.6,
垂老别 // 1308 2.534,PDF2.102,津PDF5.8,
無家别 // 1316 2.537,PDF2.105,津PDF5.10,
夏日歎 // 1330 2.540,PDF2.108,津PDF5.11,
夏夜歎 // 1334 2.542,PDF2.110,津PDF5.12,
立秋後題 // 1338 2.544,PDF2.112,津PDF5.13,
貽阮隱居 // 1610 2.544,PDF2.112,津PDF5.14,
遣興三首 // 1340 2.546,PDF2.114,津PDF5.15,
留花門 // 1164 2.549,PDF2.117,津PDF5.16,
佳人 // 1349 2.552,PDF2.120,津PDF5.18,
夢李白二首 // 1356 2.555,PDF2.123,津PDF5.20,
有懷台州鄭十八司户 // 1366 2.559,PDF2.127,津PDF5.22,
遣興五首 // 1376 2.562,PDF2.130,津PDF5.24,
遣興二首 // 1390 2.566,PDF2.134,津PDF5.26,
遣興五首 // 1395 2.568,PDF2.136,津PDF5.27,
秦州雜詩二十首 // 1405 2.572,PDF2.140,津PDF5.29,
月夜憶舍弟 // 1471 2.589,PDF2.157,津PDF5.39,
天末懷李白 // 1475 2.590,PDF2.158,津PDF5.40,
宿贊公房 // 1484 2.592,PDF2.160,津PDF5.41,
赤谷西崦人家 // 1481 2.593,PDF2.161,津PDF5.41,
西枝村尋置草堂地夜宿贊公土室二首 // 1488 2.594,PDF2.162,津PDF5.42,
寄贊上人 // 1498 2.597,PDF2.165,津PDF5.43,
太平寺泉眼 // 1503 2.599,PDF2.167,津PDF5.44,
東樓 // 1508 2.600,PDF2.168,津PDF5.45,
雨晴 // 1511 2.601,PDF2.169,津PDF5.46,
寓目 // 1514 2.602,PDF2.170,津PDF5.46,
山寺 // 1517 2.603,PDF2.171,津PDF5.47,
即事 // 1521 2.604,PDF2.172,津PDF5.47,
遣懷 // 1524 2.605,PDF2.173,津PDF5.48,
天河 // 1527 2.606,PDF2.174,津PDF5.49,
初月 // 1532 2.607,PDF2.175,津PDF5.49,
擣衣 // 1536 2.608,PDF2.176,津PDF5.50,
歸燕 // 1540 2.610,PDF2.178,津PDF5.51,
促織 // 1543 2.611,PDF2.179,津PDF5.51,
螢火 // 1546 2.612,PDF2.180,津PDF5.52,
蒹葭 // 1551 2.612,PDF2.180,津PDF5.52,
苦竹 // 1555 2.613,PDF2.181,津PDF5.53,

杜詩詳註卷之八
除架 // 1559 2.615,PDF2.183,津PDF5.54,
廢畦 // 1563 2.616,PDF2.184,津PDF5.54,
夕烽 // 1565 2.617,PDF2.185,津PDF5.55,
秋笛 // 1568 2.618,PDF2.186,津PDF5.55,
日暮 // 1584 2.618,PDF2.186,津PDF5.56,
野望 // 1586 2.619,PDF2.187,津PDF5.56,
空囊 // 1571 2.620,PDF2.188,津PDF5.57,
病馬 // 1575 2.621,PDF2.189,津PDF5.57,
蕃劍 // 1577 2.622,PDF2.190,津PDF5.58,
銅瓶 // 1580 2.624,PDF2.192,津PDF5.59,
送遠 // 1590 2.625,PDF2.193,津PDF5.59,
送人從軍 // 1594 2.626,PDF2.194,津PDF5.60,
示姪佐 // 1597 2.628,PDF2.196,津PDF5.61,
佐還山後寄三首 // 1600 2.629,PDF2.197,津PDF5.61,
從人覓小胡孫許寄 // 1607 2.631,PDF2.199,津PDF5.63,
秋日阮隱居致薤三十束 // 1614 2.632,PDF2.200,津PDF5.63,
秦州見敕目薛三璩授司議郎畢四曜除監察與二子有故遠喜遷官兼述索居凡三十韻 // 1616 2.633,PDF2.201,津PDF5.63,
寄彭州高三十五使君適虢州岑二十七長史參三十韻 // 1629 2.638,PDF2.206,津PDF5.67,
寄岳州賈司馬六丈巴州嚴八使君兩閣老五十韻 // 1642 2.645,PDF2.213,津PDF5.70,
寄張十二山人彪三十韻 // 1666 2.655,PDF2.223,津PDF5.77,
寄李十二白二十韻 // 1681 2.660,PDF2.228,津PDF5.80,
所思 // 1373 2.666,PDF2.234,津PDF5.84,
别贊上人 // 1694 2.666,PDF2.234,津PDF5.84,
兩當縣吴十侍御江上宅 // 1810 2.668,PDF2.236,津PDF5.85,
發秦州 // 1699 2.672,PDF2.240,津PDF5.87,
赤谷 // 1707 2.675,PDF2.243,津PDF5.89,
鐵堂峽 // 1711 2.677,PDF2.245,津PDF5.90,
鹽井 // 1717 2.679,PDF2.247,津PDF5.91,
寒峽 // 1722 2.680,PDF2.248,津PDF5.92,
法鏡寺 // 1727 2.682,PDF2.250,津PDF5.93,
青陽峽 // 1733 2.683,PDF2.251,津PDF5.93,
龍門鎮 // 1740 2.685,PDF2.253,津PDF5.95,
石龕 // 1744 2.687,PDF2.255,津PDF5.95,
積草嶺 // 1750 2.688,PDF2.256,津PDF5.96,
泥功山 // 1755 2.690,PDF2.258,津PDF5.97,
鳳凰臺 // 1759 2.691,PDF2.259,津PDF5.98,
乾元中寓居同谷縣作歌七首 // 1770 2.693,PDF2.261,津PDF5.99,
萬丈潭 // 1801 2.701,PDF2.269,津PDF5.104,

杜詩詳註卷之九
發同谷縣 // 1821 2.705,PDF2.273,津PDF6.2,
木皮嶺 // 1828 2.706,PDF2.274,津PDF6.2,
白沙渡 // 1835 2.708,PDF2.276,津PDF6.3,
水會渡 // 1840 2.710,PDF2.278,津PDF6.3,
飛仙閣 // 1846 2.711,PDF2.279,津PDF6.5,
五盤 // 1853 2.713,PDF2.281,津PDF6.6,
龍門閣 // 1857 2.714,PDF2.282,津PDF6.7,
石櫃閣 // 1863 2.716,PDF2.284,津PDF6.7,
桔柏渡 // 1868 2.718,PDF2.286,津PDF6.8,
劍門 // 1873 2.719,PDF2.287,津PDF6.9,
鹿頭山 // 1885 2.722,PDF2.290,津PDF6.11,
成都府 // 1892 2.724,PDF2.292,津PDF6.12,
酬高使君相贈 // 1903 2.727,PDF2.295,津PDF6.14,
卜居 // 1907 2.729,PDF2.297,津PDF6.15,
王十五司馬弟出郭相訪遺營草堂貲 // 1912 2.730,PDF2.298,津PDF6.16,
蕭八明府實處覓桃栽 // 1915 2.731,PDF2.299,津PDF6.16,
從韋二明府續處覓綿竹 // 1917 2.732,PDF2.300,津PDF6.17,
憑何十一少府邕覓榿木栽 // 1919 2.732,PDF2.300,津PDF6.17,
憑韋少府班覓松樹子栽 // 1921 2.733,PDF2.301,津PDF6.18,
又於韋處乞大邑瓷碗 // 1923 2.734,PDF2.302,津PDF6.18,
詣徐卿覓果栽 // 1924 2.734,PDF2.302,津PDF6.18,
堂成 // 1926 2.735,PDF2.303,津PDF6.18,
蜀相 // 1930 2.736,PDF2.304,津PDF6.19,
梅雨 // 1940 2.738,PDF2.306,津PDF6.21,
爲農 // 1944 2.739,PDF2.307,津PDF6.22,
有客 // 1947 2.740,PDF2.308,津PDF6.22,
賓至 // 1953 2.741,PDF2.309,津PDF6.23,
狂夫 // 1955 2.743,PDF2.311,津PDF6.24,
田舍 // 1962 2.745,PDF2.313,津PDF6.25,
江村 // 1965 2.746,PDF2.314,津PDF6.26,
江漲 // 1970 2.747,PDF2.315,津PDF6.27,
野老 // 1972 2.748,PDF2.316,津PDF6.27,
雲山 // 1977 2.749,PDF2.317,津PDF6.28,
遣興 // 1980 2.750,PDF2.318,津PDF6.28,
遣愁 // 3935 2.751,PDF2.319,津PDF6.29,
杜鵑行 // 1994 2.752,PDF2.320,津PDF6.29,
題壁上韋偃畫馬歌 // 1998 2.753,PDF2.321,津PDF6.30,
戲題王宰畫山水圖歌 // 2001 2.754,PDF2.322,津PDF6.31,
戲爲韋偃雙松圖歌 // 2008 2.757,PDF2.325,津PDF6.33,
北鄰 // 2013 2.759,PDF2.327,津PDF6.34,
南鄰 // 2016 2.760,PDF2.328,津PDF6.35,
過南鄰朱山人水亭 // 3160 2.762,PDF2.330,津PDF6.36,
因崔五侍御寄高彭州一絶 // 2023 2.762,PDF2.330,津PDF6.36,
奉簡高三十五使君 // 2025 2.763,PDF2.331,津PDF6.36,
和裴迪登新津寺寄王侍郎 // 2027 2.763,PDF2.331,津PDF6.37,
贈蜀僧閭丘師兄 // 2052 2.765,PDF2.333,津PDF6.38,
泛溪 // 2031 2.769,PDF2.337,津PDF6.40,
出郭 // 2036 2.770,PDF2.338,津PDF6.41,
恨别 // 2040 2.772,PDF2.340,津PDF6.41,
散愁二首 // 2047 2.773,PDF2.341,津PDF6.42,
建都十二韻 // 2061 2.775,PDF2.343,津PDF6.43,
村夜 // 2073 2.778,PDF2.346,津PDF6.45,
寄楊五桂州譚 // 2076 2.778,PDF2.346,津PDF6.45,
西郊 // 2093 2.779,PDF2.347,津PDF6.46,
和裴迪登蜀州東亭送客逢早梅見寄 // 2080 2.781,PDF2.349,津PDF6.47,
暮登四安寺鐘樓寄裴十迪 // 2110 2.783,PDF2.351,津PDF6.48,
寄贈王十將軍承俊 // 3386 2.783,PDF2.351,津PDF6.48,
奉酬李都督表丈早春作 // 2100 2.784,PDF2.352,津PDF6.49,
題新津北橋樓 // 2106 2.785,PDF2.353,津PDF6.49,
遊修覺寺 // 2115 2.786,PDF2.354,津PDF6.50,
後遊 // 2119 2.787,PDF2.355,津PDF6.50,
絶句漫興九首 // 2232 2.788,PDF2.356,津PDF6.51,
客至 // 2131 2.793,PDF2.361,津PDF6.54,
遣意二首 // 2139 2.794,PDF2.362,津PDF6.54,

杜詩詳註卷之十
漫成二首 // 2148 2.797,PDF2.365,津PDF6.56,
春夜喜雨 // 2125 2.798,PDF2.366,津PDF6.57,
春水 // 2183 2.799,PDF2.367,津PDF6.57,
江亭 // 2186 2.800,PDF2.368,津PDF6.58,
早起 // 2193 2.802,PDF2.370,津PDF6.58,
落日 // 2198 2.802,PDF2.370,津PDF6.59,
可惜 // 2207 2.803,PDF2.371,津PDF6.59,
獨酌 // 2202 2.804,PDF2.372,津PDF6.59,
徐步 // 2211 2.805,PDF2.373,津PDF6.60,
寒食 // 2215 2.806,PDF2.374,津PDF6.60,
石鏡 // 2266 2.806,PDF2.374,津PDF6.61,
琴臺 // 2270 2.808,PDF2.376,津PDF6.62,
春水生二絶 // 2161 2.809,PDF2.377,津PDF6.63,
江上値水如海勢聊短述 // 2165 2.810,PDF2.378,津PDF6.63,
水檻遣心二首 // 2177 2.812,PDF2.380,津PDF6.64,
